CD_CVM	DENOM_SOCIAL	DENOM_COMERC	SETOR_ATIV	PF_PJ	CNPJ	DT_REG	DT_CONST	DT_CANCEL	MOTIVO_CANCEL	SIT_REG	DT_INI_SIT	SIT_EMISSOR	DT_INI_SIT_EMISSOR	CATEG_REG	DT_INI_CATEG	AUDITOR	CNPJ_AUDITOR	TP_ENDER	LOGRADOURO	COMPL	BAIRRO	CIDADE	UF	PAIS	CD_POSTAL	TEL	FAX	EMAIL	TP_RESP	RESP	DT_INI_RESP	LOGRADOURO_RESP	COMPL_RESP	BAIRRO_RESP	CIDADE_RESP	UF_RESP	PAIS_RESP	CEP_RESP	TEL_RESP	FAX_RESP	EMAIL_RESP	TP_MERC
14370	ABRIL SA	ABRIL SA	GRÁFICAS E EDITORAS	PJ	44597052000162	06/05/1994		21/12/1999	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	21/12/1999					RUHTRA S/C	33017310000178	SEDE	AV OTAVIANO ALVES DE LIMA 7221		PINHEIROS	SÃO PAULO	SP	BRASIL		(11) 30372010	(11) 30372040	jaugusto@abril.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	JOSE AUGUSTO PINTO MOREIRA	06/05/1994	AV NAÇÕES UNIDAS, 7221/2º AND		PINHEIROS	SÃO PAULO	SP		5425902	(11) 30372010	(11) 30372040	jaugusto@abril.com.br	
20206	ABYARA PLANEJAMENTO IMOBILIÁRIO S/A	ABYARA	Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração	PJ	7794351000160	24/07/2006	04/01/2006	28/05/2010	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	28/05/2010			Categoria A	01/01/2010	TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES	326016000199	SEDE	AVENIDA IBIRAPUERA	2332/T. 1/ 11ANDAR	IBIRAPUERA	SÃO PAULO	SP	BRASIL		(11) 32960202		ri@abyara.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	MARCOS YUITI MORI	08/06/2009	RUA GOMES DE CARVALHO, 1510	6º ANDAR	VILA OLÍMPIA	SÃO PAULO	SP		4547005	(11  ) 32960202	(11  ) 32960201	RI@ABYARA.COM.BR	BOLSA
60	ACOPALMA CIA INDL ACOS V PALMA	ACOPALMA CIA INDL ACOS V PALMA	METALURGIA E SIDERURGIA	PJ	18451005000104	09/05/1978	15/03/1973	07/08/2007	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	07/08/2007					WALTER HEUER AUDITORES INDEPENDENTES	61411393000110	SEDE	ALAMEDA LOURIVAL BOECHAT 550		N.S.FATIMA	VÁRZEA DA PALMA	MG	BRASIL		(31) 33352590	(31) 33442596		DIRETOR DE RELAÇÕES COM INVESTIDORES	MILTON ALENCAR ASSIS DE TOLEDO	09/05/1978	RUA ALVES DO VALE, 14		CORAçAO JESUS	BELO HORIZONTE	MG		30380320	(31) 33352590	(31) 33442596	MAATOLEDO@UOL.COM.BR	BALCÃO NÃO ORGANIZADO
78	ACOS ANHANGUERA SA	ANHANGUERA	METALURGIA E SIDERURGIA	PJ	61150660000143	20/10/1971		09/02/1994	ELISÃO POR INCORPORAÇÃO	CANCELADA	09/02/1994					RUHTRA S/C	33017310000178	SEDE	AV INTERLAGOS 4455 JD.UMUARAMA			SÃO PAULO	SP	BRASIL		(11) 5253322			DIRETOR DE RELAÇÕES COM INVESTIDORES	LUIS ROBERTO DE M. JUNQUEIRA	20/10/1971	RUA VERBO DIVINO 1661			SÃO PAULO	SP		4719000	(11) 2461222			BOLSA
86	ACOS DO BRASIL SA IND E COM	ACOS DO BRASIL	METALURGIA E SIDERURGIA	PJ	60890688000154	16/08/1972		14/12/1989	ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78	CANCELADA	14/12/1989					DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	R DR JULIO PIGNATARI 109			SANTO ANDRÉ	SP	BRASIL		(11) 4491022			DIRETOR DE RELAÇÕES COM INVESTIDORES	RUY MARQUES	16/08/1972	R XV DE NOVEMBRO 324			SÃO PAULO	SP		1013000	(11) 2390711			BALCÃO NÃO ORGANIZADO
14508	AÇOS FINOS PIRATINI S/A	PIRATINI	METALURGIA E SIDERURGIA	PJ	92767409000156	21/07/1994		05/09/1995	ELISÃO POR INCORPORAÇÃO	CANCELADA	05/09/1995					ARTHUR ANDERSEN BIEDERMANN A I	44038248000117	SEDE	AV FARRAPOS, 1811			PORTALEGRE	RN	BRASIL		(51) 3302777	(51) 3302695		DIRETOR DE RELAÇÕES COM INVESTIDORES	FREDERICO C.GERDAU JOHANNPETER	21/07/1994	AV FARRAPOS, 1811			PORTALEGRE	RN		90220005	(51) 3302777	(0051) 3302695		BALCÃO NÃO ORGANIZADO
10715	ACOS IPANEMA (VILLARES) SA	ACOS IPANEMA	METALURGIA E SIDERURGIA	PJ	60852316000133	20/10/1977		11/01/1993	ELISÃO POR INCORPORAÇÃO	CANCELADA	11/01/1993					ROBERTO DREYFUSS & CIA SC	60815016000184	SEDE	AV. INTERLAGOS 4455			SÃO PAULO	SP	BRASIL		(11) 5253322			DIRETOR DE RELAÇÕES COM INVESTIDORES	LUIS ROBERTO DE M. JUNQUEIRA	20/10/1977	RUA VERBO DIVINO NR 1661			SÃO PAULO	SP		4719000	(11) 2461222			BOLSA
108	AÇOS VILLARES SA	ACOS VILLARES	METALURGIA E SIDERURGIA	PJ	60664810000174	16/05/1969	18/08/1944	30/12/2010	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/12/2010	FASE OPERACIONAL	16/05/1969	Categoria A	01/01/2010	DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	Avenida das Nações Unidas, 8501	5º ANDAR	Pinheiros	SÃO PAULO	SP	BRASIL		(051) 33232211	(51) 33232281	inform@gerdau.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	OSVALDO BURGOS SCHIRMER	28/04/2009	AV. FARRAPOS	Nº 1811	FLORESTA	PORTO ALEGRE	RS		90220005	(51  ) 33232211	(51  ) 33232281	inform@gerdau.com.br	BOLSA
116	ACRINOR ACRILONITRILA DO NE SA	ACRINOR	Petroquímicos e Borracha	PJ	13546353000133	23/12/1981		21/02/2000	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	21/02/2000					ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	RUA DO HIDROGENIO, 824		COPEC	CAMAÇARI	BA	BRASIL		(71) 8342455	(71) 8322137		DIRETOR DE RELAÇÕES COM INVESTIDORES	NELSON MAGALHÃES GRAÇA	23/12/1981	RUA DO HIDROGENIO, 824			CAMAÇARI	BA		41810000	(71) 8342500	(0071) 8322137		BALCÃO NÃO ORGANIZADO
20230	ACRUX SECURITIZADORA S/A	ACRUX SECURITIZADORA S/A	SECURITIZAÇÃO DE RECEBÍVEIS	PJ	7825881000129	09/08/2006	02/01/2006	04/02/2016	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	04/02/2016	FASE OPERACIONAL	09/08/2006	Categoria B	01/01/2010	MANDARINO & ASSOCIADOS AUDITORES	5502678000196	SEDE	Rua do Carmo 71	5o andar	Centro	RIO DE JANEIRO	RJ	BRASIL		(21) 25052500	(21) 22524518	securitizadora@acruxcapital.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	JORGE HENRIQUE DA SILVA	05/12/2011	RUA DO CARMO 71	5 ANDAR	CENTRO	RIO DE JANEIRO	RJ		21011020	(21) 25052500	(21) 22524518	SECURITIZADORA@ACRUXCAPITAL.COM	BALCÃO NÃO ORGANIZADO
18040	ACTORI PARTICIPAÇÕES SA	ACTORI PARTICIPAÇÕES S.A.	EMP. ADM. PARTICIPAÇÕES	PJ	2808627000107	09/12/1998	14/09/1998	24/04/2002	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	24/04/2002					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	AV. BRIGADEIRO FARIA LIMA, 372	9, 7º ANDA	ITAIM BIBI	SÃO PAULO	SP	BRASIL		(11) 30495555	(11) 30495511	valdo.gomes@gp.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	FERSEN LAMAS LAMBRANHO	09/12/1998	AV. BRIGADEIRO FARIA LIMA, 372	9, 7º ANDA	ITAIM BIBI	SÃO PAULO	SP		4538905	(11) 30495582	(11) 30495511	mara.elisa@gp.com.br	BOLSA
20940	AÇUCAR GUARANI S/A	AÇUCAR GUARANI S/A	AGRICULTURA (AÇUCAR, ALCOOL E CANA)	PJ	47080619000117	20/07/2007	01/01/1976	13/08/2010	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	13/08/2010			Categoria A	01/01/2010	DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	Rodovia Assis Chateubriand	Km 155	Zona Rural	OLÍMPIA	SP	BRASIL		(17) 32801000	(17) 32801319	ri@aguarani.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	REYNALDO FERREIRA BENITEZ	30/05/2007	AV. BRIG. FARIA LIMA, 201	CONJ 132 13º ANDAR	PINHEIROS	SÃO PAULO	SP		5426100	(11) 35444900	(11) 35444944	ri@aguarani.com.br	BOLSA
7625	ADEPAR ASSESSORIA ADM SERV SA	IOCHPE ARREND MERC	EMP. ADM. PARTICIPAÇÕES	PJ	43631183000156	14/04/1981		02/08/1989	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	02/08/1989					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	RUA SETE SETEMBRO 1123/3 ANDAR			PORTO ALEGRE	RS	BRASIL		(0512) 274544			DIRETOR DE RELAÇÕES COM INVESTIDORES	MAURO KNIJNIK	14/04/1981	RUA SETE SETEMBRO 1123/3 ANDAR			PORTO ALEGRE	RS		90010000	(0512) 274544			
132	ADESENE ADESIVOS NO NORDESTE SA	ADESENE	Petroquímicos e Borracha	PJ	11029808000118	10/12/1974		09/08/2005	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	09/08/2005							SEDE	R.A-Q.O-L.1 A 5-DIST.INDL.JP			JOÃO PESSOA	PB	BRASIL		(83) 2213334			DIRETOR DE RELAÇÕES COM INVESTIDORES	FLAVIO RODOLFO PINHEIRO LIMA	10/12/1974	R.A-Q.O-L.1 A 5-DIST.INDL.JP			JOÃO PESSOA	PB		58000000	(83) 2213334			BALCÃO NÃO ORGANIZADO
159	ADUBOS VIANNA SA INDUSTRIA E COMERCIO	ADUBOS VIANNA	Petroquímicos e Borracha	PJ	17157215000113	22/09/1969		20/12/2005	CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98	CANCELADA	20/12/2005					ECOPAL AUDITORES INDEPENDENTES	43342997000170	SEDE	ALAMEDA TANGARA, 1-VILA VIANNA			COTIA	SP	BRASIL		(11) 4923848			DIRETOR DE RELAÇÕES COM INVESTIDORES	ANTONIO EDUARDO RIBAS VIANNA	22/09/1969	AL TANGARA 1			COTIA	SP		6700000	(11) 4923840			BALCÃO NÃO ORGANIZADO
21725	ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.	HUB COSMÉTICOS S.A.	Farmacêutico e Higiene	PJ	10345009000198	24/06/2009	18/08/2008			ATIVO	24/06/2009	FASE PRÉ-OPERACIONAL	24/06/2009	Categoria A	01/01/2010	BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES	54276936000179	SEDE	Av. Das Nações Unidas, 8501	17º andar	Pinheiros	SÃO PAULO	SP	BRASIL		(11) 34346548	(11) 34346548	dri@advanced-dh.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	THAISE SAETER	17/01/2019	AV. DAS NAÇÕES UNIDAS, 8501		PINHEIROS	SÃO PAULO	SP		5425070	(11) 34346548	(0) 0	dri@advanced-dh.com	BOLSA
23396	AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.	AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.	Saneamento, Serv. Água e Gás	PJ	8827501000158	21/05/2014	26/03/2007			ATIVO	21/05/2014	FASE OPERACIONAL	11/03/2014	Categoria B	21/05/2014	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Avenida Brigadeiro Faria Lima, nº 1.744	7º andar, Cj 71,sl 1	Jardim Paulistano	SÃO PAULO	SP	BRASIL		(11) 38188150	(11) 38188166	ri@aegea.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	FLAVIO MARTINS TARCHI CRIVELLARI	21/02/2014	AV. BRIGADEIRO FARIA LIMA	1.744/7º AND/SL 1	JARDIM PAULISTANO	SÃO PAULO	SP		1451910	(11) 38188150	(11) 38188166	rei@aegea.com.br	
167	AEROFOTO CRUZEIRO SA	AEROFOTO CRUZEIRO	SERVICOS DIVERSOS	PJ	33037169000175	20/07/1977		01/12/1992	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	01/12/1992					WALTER HEUER AUDITORES INDEPENDENTES	61411393000110	SEDE	AV. ALMIRANTE FRONTIN, 381			RIO DE JANEIRO	RJ	BRASIL		(21) 22905212			DIRETOR DE RELAÇÕES COM INVESTIDORES	LEOPOLDINO C.DE AMORIM FILHO	20/07/1977	AV. ALMIRANTE FRONTIN, 381			RIO DE JANEIRO	RJ		21030000	(21) 2905212			BOLSA
19313	AES ELPA SA	AES ELPA	Emp. Adm. Part. - Energia Elétrica	PJ	1917705000130	14/10/2002	01/06/1997	05/09/2018	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	05/09/2018	FASE OPERACIONAL	14/10/2002	Categoria A	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Av. Dr. Marcos Penteado de Ulhôa Rodrigues, nº 939. Torre II	5 andar Sala 1	Bairro Sítio Tamboré	BARUERI	SP	BRASIL		(11) 21957048	(11) 21952155	ri.aeseletropaulo@aes.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	CLARISSA DELLA NINA SADDOCK ACCORSI	01/04/2016	AV DR MARCOS P DE U RODRIGUES	7º ANDAR	SÍTIO TAMBORE	BARUERI	SP		6460040	(11) 21957048	(11) 21952308	ri.aeselpa@aes.com	BOLSA
18970	AES TIETÊ ENERGIA S.A	CIA BRASILIANA DE ENERGIA	Emp. Adm. Part. - Energia Elétrica	PJ	4128563000110	29/06/2001	06/11/2000			ATIVO	29/06/2001	FASE OPERACIONAL	01/10/2002	Categoria A	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	AV. NAçõES UNIDAS, 12.495	12º ANDAR	BROOKLIN PAULISTA	SÃO PAULO	SP	BRASIL		(11) 21957048	(011) 21952155	ciabrasiliana@aes.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	CLARISSA DELLA NINA SADOCK ACCORSI	01/10/2017	AV. NAÇÕES UNIDAS, 12.495	12º ANDAR	BROOKLIN PAULISTA	SÃO PAULO	SP		4578000	(11) 41974925	(11) 41974925	ri.aestiete@aes.com	BALCÃO NÃO ORGANIZADO
18350	AES TIETE SA	AES TIETE SA	ENERGIA ELÉTRICA	PJ	2998609000127	14/07/1999	04/02/1999	31/12/2015	ELISÃO POR INCORPORAÇÃO	CANCELADA	26/10/2015	FASE OPERACIONAL	14/07/1999	Categoria A	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Av. Doutor Marcos Penteado Ulhôa Rodrigues, nº 939	Torre II	Tamboré	BARUERI	SP	BRASIL		(11) 21957048	(11) 21952155	ri.aestiete@aes.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	FRANCISCO JOSÉ MORANDI LOPEZ	30/11/2013	AV DR MARCOS PENTEADO ULHÔA R	939 TORRE2 7º AND.	SITIO TAMBORÉ	BARUERI	SP		6460040	(11) 21952285	(11) 21952308	ri.aestiete@aes.com	BOLSA
18104	AETATIS SECURITIZADORA S.A.	AETATIS SECURITIZADORA	SECURITIZAÇÃO DE RECEBÍVEIS	PJ	2808481000191	17/12/1998	14/09/1998	24/06/2016	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	24/06/2016	FASE OPERACIONAL	02/08/2006	Categoria B	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Avenida Presidente Juscelino Kubitschek, n° 510	7° andar, parte	Vila Nova Conceição	SÃO PAULO	SP	BRASIL		(011) 31275500	(11) 31275555	jn@hsinvest.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	JORGE CARLOS NUÑEZ	11/07/2003	AV. PRES JUSCELINO KUBITSCHEK,	510,7° ANDAR-PARTE	VILA NOVA CONCEIÇAO	SÃO PAULO	SP		4543000	(11) 31275500	(11) 31275555	jorge.nunez@hsinvest.com	BOLSA
20150	AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.	AFLUENTE G	ENERGIA ELÉTRICA	PJ	7620094000140	12/07/2006	31/08/2005	24/11/2017	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	24/11/2017	FASE OPERACIONAL	12/07/2006	Categoria A	01/01/2010	ERNST & YOUNG AUDITORES INDEPENDENTES S/S	61366936000125	SEDE	Rua Leopoldo Couto Magalhães Júnior, 758	conj 31	Itaim Bibi	SÃO PAULO	SP	BRASIL		(11) 31477164	(11) 31477000	ri.afluente@neoenergia.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	TIAGO MANUEL CAETANO RODRIGUES HENRIQUES JORGE	17/03/2017	RUA LEOPOLDO COUTO MAGALHÃES J	758, CJ 31	ITAIM BIBI	SÃO PAULO	SP		4542000	(011) 31477164	(011) 31477000	tiago.rodrigues@contourglobal.com	BOLSA
22179	AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A	AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A	ENERGIA ELÉTRICA	PJ	10338320000100	24/09/2010	18/08/2008			ATIVO	24/09/2010	FASE OPERACIONAL	24/09/2010	Categoria A	24/09/2010	KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	Praia do Flamengo, 78	10º andar	Flamengo	RIO DE JANEIRO	RJ	BRASIL		(21) 32359824	(21) 32359876	ri.afluente@neoenergia.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	LEONARDO PIMENTA GADELHA	22/04/2019	PRAIA DO FLAMENGO, 78	10º ANDAR	FLAMENGO	RIO DE JANEIRO	RJ		22210030	(21) 3235980	(021) 3235987	ri@neoenergia.com	BOLSA
12343	AGF BRASIL SEGUROS SA	AGF BRASIL SEGUROS	SEGURADORAS E CORRETORAS	PJ	61573796000166	09/04/1985	01/11/1904	30/05/2005	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	30/05/2005					KPMG AUDITORES INDEPENDENTES	57755217000129	SEDE	RUA LUÍS COELHO, 26		CERQUEIRA CESAR	SÃO PAULO	SP	BRASIL		(11) 31716687	(0011) 31716506	sgraciano@agf.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	MAX JOAQUIN ERNESTO THIERMANN WELLER	25/08/2003	RUA LUIS COELHO Nº 26	7º ANDAR	CERQUEIRA CESAR	SÃO PAULO			1309900	(11) 31716856	(11) 32849936	MAX.THIERMANN@AGF.COM.BR	BOLSA
